Date,Open,High,Low,Close,Adj Close,Volume
2024-04-09,347.20001220703125,347.95001220703125,331.95001220703125,341.20001220703125,341.20001220703125,139378
2024-04-10,343.45001220703125,343.95001220703125,325.1000061035156,330.75,330.75,102584
2024-04-12,333.95001220703125,349.0,328.8500061035156,335.45001220703125,335.45001220703125,243318
2024-04-15,334.0,334.0,317.1499938964844,322.3999938964844,322.3999938964844,58550
2024-04-16,320.0,336.0,304.95001220703125,318.6499938964844,318.6499938964844,135340
2024-04-18,318.3999938964844,330.0,309.8999938964844,317.45001220703125,317.45001220703125,154971
2024-04-19,318.04998779296875,319.8999938964844,306.6000061035156,310.20001220703125,310.20001220703125,59513
2024-04-22,311.54998779296875,350.5,311.54998779296875,335.5,335.5,211478
2024-04-23,347.0,348.95001220703125,321.54998779296875,326.45001220703125,326.45001220703125,102921
2024-04-24,331.95001220703125,333.3999938964844,315.20001220703125,318.95001220703125,318.95001220703125,62454
2024-04-25,321.0,323.1000061035156,316.1000061035156,318.8999938964844,318.8999938964844,42498
2024-04-26,318.6499938964844,345.0,318.29998779296875,342.1499938964844,342.1499938964844,116601
2024-04-29,344.0,349.0,321.0,324.3999938964844,324.3999938964844,148236
2024-04-30,325.0,329.95001220703125,310.0,314.70001220703125,314.70001220703125,73407
2024-05-02,317.95001220703125,336.0,312.6000061035156,314.79998779296875,314.79998779296875,168875
2024-05-03,318.0,320.79998779296875,298.0,304.0,304.0,238018
2024-05-06,307.5,308.6499938964844,277.0,285.45001220703125,285.45001220703125,237978
2024-05-07,285.5,289.8999938964844,267.70001220703125,270.6000061035156,270.6000061035156,155081
2024-05-08,272.3999938964844,285.79998779296875,271.1000061035156,277.8999938964844,277.8999938964844,78400
2024-05-09,281.75,283.8999938964844,271.0,272.3500061035156,272.3500061035156,49764
2024-05-10,276.0,283.3999938964844,263.3500061035156,279.3999938964844,279.3999938964844,58889
2024-05-13,275.3500061035156,281.95001220703125,268.3500061035156,272.5,272.5,37417
2024-05-14,275.0,285.0,272.54998779296875,280.45001220703125,280.45001220703125,47681
2024-05-15,284.8500061035156,284.8500061035156,272.04998779296875,274.3999938964844,274.3999938964844,34554
2024-05-16,277.95001220703125,285.1499938964844,273.79998779296875,275.6000061035156,275.6000061035156,39979
2024-05-17,283.20001220703125,294.3500061035156,276.95001220703125,289.20001220703125,289.20001220703125,73418
2024-05-21,295.95001220703125,295.95001220703125,275.95001220703125,279.5,279.5,66708
2024-05-22,280.0,281.29998779296875,263.8999938964844,269.1499938964844,269.1499938964844,102201
2024-05-23,270.0,278.0,269.54998779296875,272.8999938964844,272.8999938964844,33881
2024-05-24,270.25,275.5,267.95001220703125,269.6000061035156,269.6000061035156,20673
2024-05-27,274.0,275.0,267.29998779296875,270.3999938964844,270.3999938964844,55482
2024-05-28,269.20001220703125,276.0,260.0,269.0,269.0,80603
2024-05-29,271.0,291.45001220703125,258.54998779296875,278.6000061035156,278.6000061035156,263497
2024-05-30,283.95001220703125,298.0,279.45001220703125,288.79998779296875,288.79998779296875,190544
2024-05-31,290.8999938964844,295.79998779296875,266.6499938964844,268.3500061035156,268.3500061035156,110537
2024-06-03,287.0,295.0,280.04998779296875,285.0,285.0,150562
