Date,Open,High,Low,Close,Adj Close,Volume
1996-04-05,46.5,46.5,46.5,46.5,21.26033592224121,0
1996-04-08,43.5,45.0,43.5,44.54999923706055,20.368778228759766,800
1996-04-09,44.54999923706055,46.5,45.5,46.25,21.146034240722656,2600
1996-04-10,46.25,47.0,45.79999923706055,46.75,21.37464141845703,2100
1996-04-11,46.75,46.95000076293945,45.0,45.20000076293945,20.66596031188965,1400
1996-04-12,45.20000076293945,46.5,45.70000076293945,46.349998474121094,21.19175148010254,1000
1996-04-15,46.349998474121094,47.5,46.79999923706055,46.900001525878906,21.44322395324707,1200
1996-04-16,46.900001525878906,48.5,47.599998474121094,48.04999923706055,21.969011306762695,2200
1996-04-17,48.25,51.5,48.25,51.04999923706055,23.340646743774414,3100
1996-04-18,52.0,56.0,52.0,53.599998474121094,24.506540298461914,6700
1996-04-19,53.5,55.0,52.0,54.5,24.91802406311035,5300
1996-04-22,54.0,55.25,50.04999923706055,50.599998474121094,23.134899139404297,3400
1996-04-23,50.599998474121094,50.0,48.0,48.70000076293945,22.266199111938477,3200
1996-04-24,48.70000076293945,52.0,50.0,51.04999923706055,23.340646743774414,1600
1996-04-25,51.04999923706055,53.0,51.150001525878906,51.400001525878906,23.500667572021484,1300
1996-04-26,51.0,52.0,50.0,50.900001525878906,23.272062301635742,1200
1996-04-29,50.0,50.20000076293945,49.099998474121094,49.20000076293945,22.494808197021484,1300
1996-04-30,49.0,49.0,47.0,48.0,21.946151733398438,1900
1996-05-01,50.0,50.0,50.0,50.0,22.860576629638672,600
1996-05-02,49.5,50.0,49.5,50.0,22.860576629638672,1000
1996-05-03,50.0,50.0,46.04999923706055,49.95000076293945,22.83771324157715,900
1996-05-06,53.0,53.0,49.04999923706055,49.099998474121094,22.449085235595703,1700
1996-05-07,46.0,49.0,46.0,48.25,22.060461044311523,2900
1996-05-08,48.25,51.599998474121094,50.0,51.54999923706055,23.569246292114258,1700
1996-05-09,51.54999923706055,50.04999923706055,48.0,48.150001525878906,22.014734268188477,1300
1996-05-10,47.0,47.0,45.650001525878906,46.349998474121094,21.19175148010254,3300
1996-05-13,46.349998474121094,48.0,46.54999923706055,47.95000076293945,21.92329216003418,1400
